,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length,,,,,,,,,,
empty_ng_plus_desc,"Once again......",,,,,,,,"再一次......",,,,,,,,,,,,,,,
empty_teleport_pyramid,"Portal to top of Pyramid",,,,,,,,"去往 金字塔顶 的传送门",,,,,,,,,,,,,,,
action_empty_command_selector_@bosses,< SELECTOR > @bosses,,,,,,,,< 目标选择器 > @bosses,,,,,,,,,,,,,,,,
actiondesc_empty_command_selector_@bosses,"Return all bosses as <NUMBER[ ]>\nwhen cast directly: add 20 mana to this wand",,,,,,,,"将所有头目作为 <数值[ ]> 返回\n直接释放时: 向法杖注入 20 法力",,,,,,,,,,,,,,,,
action_empty_command_selector_@projectiles,< SELECTOR > @projectiles,,,,,,,,< 目标选择器 > @projectiles,,,,,,,,,,,,,,,,
actiondesc_empty_command_selector_@projectiles,"Return all projectiles as <NUMBER[ ]>\nwhen cast directly: add 10 mana to this wand",,,,,,,,"将所有投射物作为 <数值[ ]> 返回\n直接释放时: 向法杖注入 10 法力",,,,,,,,,,,,,,,,
action_empty_command_selector_@wands,< SELECTOR > @wands,,,,,,,,< 目标选择器 > @wands,,,,,,,,,,,,,,,,
actiondesc_empty_command_selector_@wands,"Return all wands as <NUMBER[ ]>\nwhen cast directly: add 10 mana to this wand",,,,,,,,"将所有法杖作为 <数值[ ]> 返回\n直接释放时: 向法杖注入 10 法力",,,,,,,,,,,,,,,,
action_empty_command_selector_@potions,< SELECTOR > @potions,,,,,,,,< 目标选择器 > @potions,,,,,,,,,,,,,,,,
actiondesc_empty_command_selector_@potions,"Return all potions as <NUMBER[ ]>\nwhen cast directly: add 15 mana to this wand",,,,,,,,"将所有魔药作为 <数值[ ]> 返回\n直接释放时: 向法杖注入 15 法力",,,,,,,,,,,,,,,,
action_empty_command_selector_@items,< SELECTOR > @items,,,,,,,,< 目标选择器 > @items,,,,,,,,,,,,,,,,
actiondesc_empty_command_selector_@items,"Return all items as <NUMBER[ ]>\nwhen cast directly: add 10 mana to this wand",,,,,,,,"将所有物品作为 <数值[ ]> 返回\n直接释放时: 向法杖注入 10 法力",,,,,,,,,,,,,,,,
action_empty_command_selector_@chunk_len,< SELECTOR > @chunk_len,,,,,,,,< 目标选择器 > @chunk_len,,,,,,,,,,,,,,,,
actiondesc_empty_command_selector_@chunk_len,"Return chunk's length ( 512 ) as <NUMBER>\nwhen cast directly: Send all spells from hand to graveyard",,,,,,,,"将区块边长 ( 512 ) 作为 <数值> 返回\n直接释放时: 将手卡全部法术送去墓地",,,,,,,,,,,,,,,,
action_empty_command_selector_@world_len,< SELECTOR > @world_len,,,,,,,,< 目标选择器 > @world_len,,,,,,,,,,,,,,,,
actiondesc_empty_command_selector_@world_len,"Return world's length as <NUMBER>\nwhen cast directly: Send all spells from deck to graveyard",,,,,,,,"将世界长度作为 <数值> 返回\n直接释放时: 将卡组全部法术送去墓地",,,,,,,,,,,,,,,,
action_empty_command_selector_@entities,< SELECTOR > @entities,,,,,,,,< 目标选择器 > @entities,,,,,,,,,,,,,,,,
actiondesc_empty_command_selector_@entities,"Return all entities as <NUMBER[ ]>\nwhen cast directly: set mana to 0",,,,,,,,"将所有实体作为 <数值[ ]> 返回\n直接释放时: 法杖的法力变成 0",,,,,,,,,,,,,,,,
action_empty_command_selector_~,"< SELECTOR > ~",,,,,,,,"< 目标选择器 > ~",,,,,,,,,,,,,,,,
actiondesc_empty_command_selector_~,"A context-sensitive SELECTOR, changes its value based on its position\nwhen cast directly: reverse all spells' order in deck, hand and graveyard",,,,,,,,"很有灵性的选择器, 会随放置位置的不同而变更它的值\n直接释放时: 反转卡组、手卡、墓地的法术序列",,,,,,,,,,,,,,,,
action_empty_command_operator_add,"< OPERATOR > +",,,,,,,,"< 运算符 > +",,,,,,,,,,,,,,,,
actiondesc_empty_command_operator_add,"Syntax:\n1. <NUMBER|NUMBER[ ]> a + <NUMBER|NUMBER[ ]> b\nreturn value of a + b\nif 1 of them is <NUMBER[ ]>: add each <NUMBER> in it to other value\n2. ( at start of para expr.: ) + <NUMBER|NUMBER[ ]> num\nCAUTION: a and b in 1. can't both be <NUMBER[ ]>\nwhen cast directly: fire rate wait and reload time set to ( fire + reload )",,,,,,,,"语法:\n1. <数值|数值[ ]> a + <数值|数值[ ]> b\n返回 a + b 的值\n如果其中 1 项是 <数值[ ]>: 将其中的每个 <数值> 与另一个值相加\n2. ( 在参数表达式的开头 ) + <数值|数值[ ]> num\n警告: 1. 中的 a 与 b 不能都是 <数值[ ]>\n\n直接释放时: 释放延迟与充能时间变为 ( 延迟 + 充能 )",,,,,,,,,,,,,,,,
action_empty_command_operator_minus,"< OPERATOR > -",,,,,,,,,,,,,,,,,,"< 运算符 > -",,,,,,
actiondesc_empty_command_operator_minus,"Syntax:\n1. <NUMBER|NUMBER[ ]> a - <NUMBER|NUMBER[ ]> b\nreturn value of a - b\nif a is <NUMBER[ ]>: subtract b from each <NUMBER> in a\nif b is <NUMBER[ ]>: subtract each <NUMBER> in b from a\n2. ( at start of para expr.: ) - <NUMBER|NUMBER[ ]> num\nCAUTION: a and b in 1. can't both be <NUMBER[ ]>\nwhen cast directly: fire rate wait and reload time set to other minus self",,,,,,,,"语法:\n1. <数值|数值[ ]> a - <数值|数值[ ]> b\n返回 a - b 的值\n如果其中 1 项是 <数值[ ]>: 将其中的每个 <数值> 与另一个值相减\n2. ( 在参数表达式的开头 ) - <数值|数值[ ]> num\n警告: 1. 中的 a 与 b 不能都是 <数值[ ]>\n\n直接释放时: 释放延迟与充能时间变为另一个减去自身的值",,,,,,,,,,,,,,,,
action_empty_command_operator_multi,"< OPERATOR > ×",,,,,,,,"< 运算符 > ×",,,,,,,,,,,,,,,,
actiondesc_empty_command_operator_multi,"Syntax:\n<NUMBER|NUMBER[ ]> a × <NUMBER|NUMBER[ ]> b\nreturn value of a × b\nif 1 of them is <NUMBER[ ]>: multiply each <NUMBER> in it by other value\nCAUTION: a and b can't both be <NUMBER[ ]>\nwhen cast directly: fire rate wait and reload time set to ( fire × reload )",,,,,,,,"语法:\n<数值|数值[ ]> a × <数值|数值[ ]> b\n返回 a × b 的值\n如果其中 1 项是 <数值[ ]>: 将其中的每个 <数值> 与另一个值相乘\n警告: a 与 b 不能都是 <数值[ ]>\n\n直接释放时: 释放延迟与充能时间变为 ( 延迟 × 充能 )",,,,,,,,,,,,,,,,
action_empty_command_operator_divide,"< OPERATOR > /",,,,,,,,"< 运算符 > /",,,,,,,,,,,,,,,,
actiondesc_empty_command_operator_divide,"Syntax:\n<NUMBER|NUMBER[ ]> a / <NUMBER|NUMBER[ ]> b\nreturn value of a / b\nif a is <NUMBER[ ]>: divide each <NUMBER> in a by b\nif b is <NUMBER[ ]>: divide a by each <NUMBER> in b\nCAUTION: a and b can't both be <NUMBER[ ]>\nwhen cast directly: fire rate wait and reload time set to other divide by self - use as 1 when self is 0",,,,,,,,"语法:\n<数值|数值[ ]> a / <数值|数值[ ]> b\n返回 a / b 的值\n如果其中 1 项是 <数值[ ]>: 将其中的每个 <数值> 与另一个值相除\n警告: a 与 b 不能都是 <数值[ ]>\n\n直接释放时: 释放延迟与充能时间变为另一个除以自身的值, 向上取整 - 分母为 0 时，在计算时分母当作 1 使用",,,,,,,,,,,,,,,,
action_empty_command_separator_comma,"< SEPARATOR > ,",,,,,,,,"< 分隔符 > ,",,,,,,,,,,,,,,,,
actiondesc_empty_command_separator_comma,"You understand all of this gradually......\nwhen cast directly: set mana to 60",,,,,,,,"你逐渐理解一切......\n直接释放时: 将法力设为 60",,,,,,,,,,,,,,,,
action_empty_command_separator_right_parenthesis,"< SEPARATOR > )",,,,,,,,"< 分隔符 > )",,,,,,,,,,,,,,,,
actiondesc_empty_command_separator_right_parenthesis,"You understand all of this gradually......\nwhen cast directly: set fire rate wait and reload time to 60",,,,,,,,"你逐渐理解一切......\n直接释放时: 将释放延迟与充能时间设为 60 帧",,,,,,,,,,,,,,,,
action_empty_command_function_random_get,"< FUNCTION > random_get(",,,,,,,,"< 函数 > random_get(",,,,,,,,,,,,,,,,
actiondesc_empty_command_function_random_get,"Syntax:\nvariable_get( <NUMBER[ ]> extract_table )\nrandom extract 1 value from extract_table, return it as <NUMBER>",,,,,,,,"语法:\nvariable_get( <数值[ ]> 提取数组 )\n从 提取数组 中随机提取 1 项, 并将其作为 <数值> 返回",,,,,,,,,,,,,,,,
action_empty_command_function_get_first,< FUNCTION > get_first(,,,,,,,,< 函数 > get_first(,,,,,,,,,,,,,,,,
actiondesc_empty_command_function_get_first,"Syntax:\n1. get_first( <NUMBER[ ]> extract_table )\nextract first value of extract_table, return it as <NUMBER>\n2. get_first( <NUMBER[ ]> extract_table, <NUMBER> index )\nextract value at index No. from start of extract_table, return it as <NUMBER>",,,,,,,,"语法:\n1. get_first( <数值[ ]> 提取数组 )\n从 提取数组 中提取顺数第 1 项, 并将其作为 <数值> 返回\n2. get_first( <数值[ ]> 提取数组, <数值> N )\n从 提取数组 中提取顺数第 N 项, 并将其作为 <数值> 返回",,,,,,,,,,,,,,,,
action_empty_command_function_get_last,< FUNCTION > get_last(,,,,,,,,< 函数 > get_last(,,,,,,,,,,,,,,,,
actiondesc_empty_command_function_get_last,"Syntax:\n1. get_last( <NUMBER[ ]> extract_table )\nextract last value of extract_table, return it as <NUMBER>\n2. get_last( <NUMBER[ ]> extract_table, <NUMBER> index )\nextract value at index No. from end of extract_table, return it as <NUMBER>",,,,,,,,"语法:\n1. get_last( <数值[ ]> 提取数组 )\n从 提取数组 中提取倒数第 1 项, 并将其作为 <数值> 返回\n2. get_last( <数值[ ]> 提取数组, <数值> N )\n从 提取数组 中提取倒数第 N 项, 并将其作为 <数值> 返回",,,,,,,,,,,,,,,,
action_empty_command_function_variable_get,"< FUNCTION > variable_get(",,,,,,,,"< 函数 > variable_get(",,,,,,,,,,,,,,,,
actiondesc_empty_command_function_variable_get,"Syntax:\nvariable_get( <NUMBER> variable_No )\nget value of variable_No, return it as <NUMBER>",,,,,,,,"语法:\nvariable_get( <数值> 变量编号 )\n获得 变量编号 的值, 将获得的值作为 <数值> 返回",,,,,,,,,,,,,,,,
action_empty_command_function_variable_set,"< FUNCTION > variable_set(",,,,,,,,"< 函数 > variable_set(",,,,,,,,,,,,,,,,
actiondesc_empty_command_function_variable_set,"Syntax:\nvariable_set( <NUMBER> variable_No, <NUMBER> set_value )\nset variable variable_No to set_value, return set_value as <NUMBER>",,,,,,,,"语法:\nvariable_set( <数值> 变量编号, <数值> 设置值 )\n将变量 变量编号 的值设为 设置值, 将 设置值 作为 <数值> 返回",,,,,,,,,,,,,,,,
action_empty_command_function_lifetime_set,"< FUNCTION > lifetime_set(",,,,,,,,"< 函数 > lifetime_set(",,,,,,,,,,,,,,,,
actiondesc_empty_command_function_lifetime_set,"Syntax:\lifetime_set( <NUMBER> duration )\nmana reduce by duration ( mana may be negative ), set lifetime property of Lifetime Component in projectile to duration, return duration as <NUMBER>\nafter that, if command executed successfully and this spell cast due to drawing: draw 1\nspecifically: trying to set value of para to -1 will reduce 500 mana and remove lifetime component, instead of increasing 1 mana",,,,,,,,"语法: \nlifetime_set( <数值> 持续时间 )\n扣减等同于 持续时间 的法力 ( 法力可能扣成负数 ), 将投射物中 lifetime 组件的属性设为 持续时间, 将 持续时间 作为 <数值> 返回\n那之后, 如果命令成功执行且此法术因抽卡而释放: 抽 1\n特别地: 尝试向参数输入 -1 将扣减 500 法力且移除 lifetime 组件, 而不是恢复 1 法力",,,,,,,,,,,,,,,,
action_empty_command_function_projectile_lifetime_set,"< FUNCTION > projectile_lifetime_set(",,,,,,,,"< 函数 > projectile_lifetime_set(",,,,,,,,,,,,,,,,
actiondesc_empty_command_function_projectile_lifetime_set,"Syntax:\nprojectile_lifetime_set( <NUMBER> duration )\nmana reduce by duration ( mana may be negative ), set lifetime property of Projectile Component in projectile to duration, return duration as <NUMBER>\nafter that, if command executed successfully and this spell cast due to drawing: draw 1\nspecifically: trying to set value of para to -1 will reduce 300 mana, instead of increasing 1 mana",,,,,,,,"语法: \nprojectile_lifetime_set( <数值> 持续时间 )\n扣减等同于 持续时间 的法力 ( 法力可能扣成负数 ), 将投射物中 投射物 组件的 lifetime 属性设为 持续时间, 将 持续时间 作为 <数值> 返回\n那之后, 如果命令成功执行且此法术因抽卡而释放: 抽 1\n特别地: 尝试向参数输入 -1 将扣减 300 法力, 而不是恢复 1 法力",,,,,,,,,,,,,,,,
action_empty_command_function_projectile_speed_set,"< FUNCTION > projectile_speed_set(",,,,,,,,"< 函数 > projectile_speed_set(",,,,,,,,,,,,,,,,
actiondesc_empty_command_function_projectile_speed_set,"Syntax:\n1. projectile_speed_set( <NUMBER> speed_value )\nset speed of Projectile Component in projectile to speed_value while preserving its direction, return speed_value as <NUMBER>\n2. projectile_speed_set( <NUMBER> vel_x, <NUMBER> vel_y )\nset velocity_x of Velocity Component in projectile to vel_x, set velocity_y to vel_y, return { vel_x, vel_y } as <NUMBER[ ]>\nafter that, if command executed successfully and this spell cast due to drawing: draw 1\nspecifically, remove speed cap of projectiles modified by this command",,,,,,,,"语法: \n1. projectile_speed_set( <数值> 速率 )\n在保持投射物速度方向的状态下, 将投射物中 投射物 组件的 速度 属性设为 速率, 将 速率 作为 <数值> 返回\n2. projectile_speed_set( <数值> 水平速度, <数值> 垂直速度 )\n将投射物中 速度 组件的 vel_x 属性设为 水平速度, vel_y 属性设为 垂直速度, 将 { 水平速度, 垂直速度 } 作为 <数值[ ]> 返回\n那之后, 如果命令成功执行且此法术因抽卡而释放: 抽 1\n特别地, 被此命令修饰的投射物移除速度上限",,,,,,,,,,,,,,,,
action_empty_command_function_projectile_gravity_set,"< FUNCTION > projectile_gravity_set(",,,,,,,,"< 函数 > projectile_gravity_set(",,,,,,,,,,,,,,,,
actiondesc_empty_command_function_projectile_gravity_set,"Syntax:\n1. projectile_gravity_set( <NUMBER> gravity_y )\nset gravity_y of Velocity Component in projectile to gravity_y, return gravity_y as <NUMBER>\n2. projectile_gravity_set( <NUMBER> gravity_y, <NUMBER> gravity_x )\nset gravity_y of Velocity Component in projectile to gravity_y, set gravity_x to gravity_x, return { gravity_y, gravity_x } as <NUMBER[ ]>\nafter that, if command executed successfully and this spell cast due to drawing: draw 1",,,,,,,,"语法: \n1. projectile_gravity_set( <数值> 垂直重力 )\n将投射物中 速度 组件的 gravity_y 属性设为 垂直重力, 将 垂直重力 作为 <数值> 返回\n2. projectile_gravity_set( <数值> 垂直重力, <数值> 水平重力 )\n将投射物中 速度 组件的 gravity_y 属性设为 垂直重力, gravity_x 属性设为 水平重力, 将 { 垂直重力, 水平重力 } 作为 <数值[ ]> 返回\n那之后, 如果命令成功执行且此法术因抽卡而释放: 抽 1",,,,,,,,,,,,,,,,
action_empty_command_function_projectile_air_friction_set,"< FUNCTION > projectile_air_friction_set(",,,,,,,,"< 函数 > projectile_air_friction_set(",,,,,,,,,,,,,,,,
actiondesc_empty_command_function_projectile_air_friction_set,"Syntax:\nprojectile_air_friction_set( <NUMBER> friction )\nset air_friction of Velocity Component in projectile to friction, return friction as <NUMBER>\nafter that, if command executed successfully and this spell cast due to drawing: draw 1",,,,,,,,"语法: \nprojectile_air_friction_set( <数值> 阻力 )\n将投射物中 速度 组件的 air_friction 属性设为 阻力, 将 阻力 作为 <数值> 返回\n那之后, 如果命令成功执行且此法术因抽卡而释放: 抽 1",,,,,,,,,,,,,,,,
action_empty_command_function_projectile_shoot_angle_add,"< FUNCTION > projectile_shoot_angle_add(",,,,,,,,"< 函数 > projectile_shoot_angle_add(",,,,,,,,,,,,,,,,
actiondesc_empty_command_function_projectile_shoot_angle_add,"Syntax: \n1. projectile_shoot_angle_add( <NUMBER> angle )\nRotate projectile's shooting direction counterclockwise by angle° from its original orientation, return angle as <NUMBER>\nafter that, if command executed successfully and this spell cast due to drawing: draw 1",,,,,,,,"语法: \n1. projectile_shoot_angle_add( <数值> 角度 )\n将投射物的出射角度在原基础上逆时针偏转 角度°, 将 角度 作为 <数值> 返回\n2. projectile_shoot_angle_add( <数值> 延迟角度, <数值> 延迟 )\n经过 延迟 帧的延迟后, 将投射物的出射角度在原基础上逆时针偏转 延迟角度°, 将 { 延迟角度, 延迟 } 作为 <数值[ ]> 返回\n那之后, 如果命令成功执行且此法术因抽卡而释放: 抽 1",,,,,,,,,,,,,,,,
action_empty_command_function_projectile_shoot_angle_set,"< FUNCTION > projectile_shoot_angle_set(",,,,,,,,"< 函数 > projectile_shoot_angle_set(",,,,,,,,,,,,,,,,
actiondesc_empty_command_function_projectile_shoot_angle_set,"Syntax: \n1. projectile_shoot_angle_set( <NUMBER> angle )\nSet projectile's shooting direction to counterclockwise angle° from due right, return angle as <NUMBER>\nafter that, if command executed successfully and this spell cast due to drawing: draw 1",,,,,,,,"语法: \n1. projectile_shoot_angle_set( <数值> 角度 )\n将投射物的出射角度在正右方基础上逆时针偏转 角度°, 将 角度 作为 <数值> 返回\n2. projectile_shoot_angle_set( <数值> 延迟角度, <数值> 延迟 )\n经过 延迟 帧的延迟后, 将投射物的出射角度在正右方基础上逆时针偏转 延迟角度°, 将 { 延迟角度, 延迟 } 作为 <数值[ ]> 返回\n那之后, 如果命令成功执行且此法术因抽卡而释放: 抽 1",,,,,,,,,,,,,,,,
action_empty_command_function_projectile_spread_set,"< FUNCTION > projectile_spread_set(",,,,,,,,"< 函数 > projectile_spread_set(",,,,,,,,,,,,,,,,
actiondesc_empty_command_function_projectile_spread_set,"Syntax: \nprojectile_spread_set( <NUMBER> angle )\nSet projectile's spread angle to ±angle°, return angle as <NUMBER>\nafter that, if command executed successfully and this spell cast due to drawing: draw 1",,,,,,,,"语法: \nprojectile_spread_set( <数值> 角度 )\n将投射物的散射角度设为 ±角度°, 将 角度 作为 <数值> 返回\n那之后, 如果命令成功执行且此法术因抽卡而释放: 抽 1",,,,,,,,,,,,,,,,
action_empty_command_function_projectile_arc_add,"< FUNCTION > projectile_arc_add(",,,,,,,,"< 函数 > projectile_arc_add(",,,,,,,,,,,,,,,,
actiondesc_empty_command_function_projectile_arc_add,"Syntax:\n1. projectile_arc_add( <NUMBER> angle )\nRotate projectile's velocity direction counterclockwise by angle° per frame from its original orientation, return angle as <NUMBER>\n2. projectile_arc_add( <NUMBER> angle, <NUMBER> inc )\nEach frame: { arc add count } +1, then rotate projectile's velocity direction counterclockwise by ( angle + { arc add count } * inc )° from its original orientation, return { angle, inc } as <NUMBER[ ]>\n3. projectile_arc_add( <NUMBER> delay_angle, <NUMBER> delay_inc, <NUMBER> delay )\nAfter delay frames, remove effects of 1. and 2., after that, each frame:\n{ delay arc add count } +1, then rotate projectile's velocity direction counterclockwise by ( delay_angle + { delay arc add count } * delay_inc )° from its original orientation\nReturn { delay_angle, delay_inc, delay } as <NUMBER[ ]>\n4. projectile_arc_add( <NUMBER> delay_angle, <NUMBER> delay_inc, <NUMBER> delay, <NUMBER> duration )\nAfter delay frames, remove effects of 1. and 2., after that, each frame ( lasting for duration frames in total ):\n{ delay arc add count } +1, then rotate projectile's velocity direction counterclockwise by ( delay_angle + { delay arc add count } * delay_inc )° from its original orientation\nReturn { delay_angle, delay_inc, delay, duration } as <NUMBER[ ]>\nafter that, if command executed successfully and this spell cast due to drawing: draw 1\nSpecifically, { arc add count } and { delay arc add count } both start at 0, and count per projectile independently",,,,,,,,"语法:\n1. projectile_arc_add( <数值> 角度 )\n将投射物的速度方向在原基础上每帧逆时针偏转 角度°, 将 角度 作为 <数值> 返回\n2. projectile_arc_add( <数值> 角度, <数值> 增长 )\n每 1 帧: { 弧增计数 } +1, 然后将投射物的速度方向在原基础上逆时针偏转 ( 角度 + { 弧增计数 } * 增长 )°, 将 { 角度, 增长 } 作为 <数值[ ]> 返回\n3. projectile_arc_add( <数值> 延迟角度, <数值> 延迟增长, <数值> 延迟 )\n在经过 延迟 帧后, 移除 1. 与 2. 的影响; 那之后, 每 1 帧:\n{ 延迟弧增计数 } +1, 然后将投射物的速度方向在原基础上逆时针偏转 ( 延迟角度 + { 延迟弧增计数 } * 延迟增长 )°\n将 { 延迟角度, 延迟增长, 延迟 } 作为 <数值[ ]> 返回\n4. projectile_arc_add( <数值> 延迟角度, <数值> 延迟增长, <数值> 延迟, <数值> 持续时间 )\n在经过 延迟 帧后, 移除 1. 与 2. 的影响; 那之后, 每 1 帧 ( 共持续 持续时间 帧 ):\n{ 延迟弧增计数 } +1, 然后将投射物的速度方向在原基础上逆时针偏转 ( 延迟角度 + { 延迟弧增计数 } * 延迟增长 )°\n将 { 延迟角度, 延迟增长, 延迟, 持续时间 } 作为 <数值[ ]> 返回\n那之后, 如果命令成功执行且此法术因抽卡而释放: 抽 1\n特别地, { 弧增计数 } 与 { 延迟弧增计数 } 初始值均为 0, 且对每个投射物分别计数",,,,,,,,,,,,,,,,
action_empty_command_function_projectile_arc_set,"< FUNCTION > projectile_arc_set(",,,,,,,,"< 函数 > projectile_arc_set(",,,,,,,,,,,,,,,,
actiondesc_empty_command_function_projectile_arc_set,"Syntax:\n1. projectile_arc_set( <NUMBER> angle )\nRotate projectile's velocity direction counterclockwise by angle° per frame from due right, return angle as <NUMBER>\n2. projectile_arc_set( <NUMBER> angle, <NUMBER> inc )\nEach frame: { arc add count } +1, then rotate projectile's velocity direction counterclockwise by ( angle + { arc add count } * inc )° from due right, return { angle, inc } as <NUMBER[ ]>\n3. projectile_arc_set( <NUMBER> delay_angle, <NUMBER> delay_inc, <NUMBER> delay )\nAfter delay frames, remove effects of 1. and 2., after that, each frame:\n{ delay arc add count } +1, then rotate projectile's velocity direction counterclockwise by ( delay_angle + { delay arc add count } * delay_inc )° from due right\nReturn { delay_angle, delay_inc, delay } as <NUMBER[ ]>\n4. projectile_arc_set( <NUMBER> delay_angle, <NUMBER> delay_inc, <NUMBER> delay, <NUMBER> duration )\nAfter delay frames, remove effects of 1. and 2., after that, each frame ( lasting for duration frames in total ):\n{ delay arc add count } +1, then rotate projectile's velocity direction counterclockwise by ( delay_angle + { delay arc add count } * delay_inc )° from its due right\nReturn { delay_angle, delay_inc, delay, duration } as <NUMBER[ ]>\nafter that, if command executed successfully and this spell cast due to drawing: draw 1\nSpecifically, { arc add count } and { delay arc add count } both start at 0, and count per projectile independently",,,,,,,,"语法:\n1. projectile_arc_set( <数值> 角度 )\n将投射物的速度方向在正右方基础上每帧逆时针偏转 角度°, 将 角度 作为 <数值> 返回\n2. projectile_arc_set( <数值> 角度, <数值> 增长 )\n每 1 帧: { 弧增计数 } +1, 然后将投射物的速度方向在正右方基础上逆时针偏转 ( 角度 + { 弧增计数 } * 增长 )°, 将 { 角度, 增长 } 作为 <数值[ ]> 返回\n3. projectile_arc_set( <数值> 延迟角度, <数值> 延迟增长, <数值> 延迟 )\n在经过 延迟 帧后, 移除 1. 与 2. 的影响; 那之后, 每 1 帧:\n{ 延迟弧增计数 } +1, 然后将投射物的速度方向在正右方基础上逆时针偏转 ( 延迟角度 + { 延迟弧增计数 } * 延迟增长 )°\n将 { 延迟角度, 延迟增长, 延迟 } 作为 <数值[ ]> 返回\n4. projectile_arc_set( <数值> 延迟角度, <数值> 延迟增长, <数值> 延迟, <数值> 持续时间 )\n在经过 延迟 帧后, 移除 1. 与 2. 的影响; 那之后, 每 1 帧 ( 共持续 持续时间 帧 ):\n{ 延迟弧增计数 } +1, 然后将投射物的速度方向在正右方基础上逆时针偏转 ( 延迟角度 + { 延迟弧增计数 } * 延迟增长 )°\n将 { 延迟角度, 延迟增长, 延迟, 持续时间 } 作为 <数值[ ]> 返回\n那之后, 如果命令成功执行且此法术因抽卡而释放: 抽 1\n特别地, { 弧增计数 } 与 { 延迟弧增计数 } 初始值均为 0, 且对每个投射物分别计数",,,,,,,,,,,,,,,,
action_empty_command_function_explode,"< FUNCTION > explode(",,,,,,,,"< 函数 > explode(",,,,,,,,,,,,,,,,
actiondesc_empty_command_function_explode,"Syntax:\n1. explode( <NUMBER> r, <NUMBER|NUMBER[ ]> target )\ncreates an explosion at where target is with explosion radius = r, return r as <NUMBER>\n2. explode( <NUMBER> r, <NUMBER> x, <NUMBER> y )\nCreates an explosion at specified position with explosion radius = r, return r as <NUMBER>\nCAUTION: you can't set damage separately - it always equals r",,,,,,,,"语法:\n1. explode( <数值> r, <数值|数值[ ]> 目标 )\n在所有 目标 位置创建 半径 = r 的爆炸, 将 r 作为 <数值> 返回\n2. explode( <数值> r, <数值> 目标x, <数值> 目标y )\n在 x = 目标x, y = 目标y 处创建 半径 = r 的爆炸, 将 r 作为 <数值> 返回\n警告: 你不能单独设置爆炸伤害 - 它总是等于 r",,,,,,,,,,,,,,,,
action_empty_command_function_tp,"< FUNCTION > tp(",,,,,,,,"< 函数 > tp(",,,,,,,,,,,,,,,,
actiondesc_empty_command_function_tp,"Syntax:\n1. tp( <NUMBER|NUMBER[ ]> teleport_entity_ids, <NUMBER> target_entity_id )\nteleport all entities within teleport_entity_ids to location where target_entity_id is, return count of teleported entities as <NUMBER>\n2. tp( <NUMBER|NUMBER[ ]> teleport_entity_ids, <NUMBER> target_x, <NUMBER> target_y )\nteleport all entities within teleport_entity_ids to x = target_x, y = target_y, return count of teleported entities as <NUMBER>",,,,,,,,"语法:\n1. tp( <数值|数值[ ]> 传送实体, <数值> 目标实体 )\n将 传送实体 内所有实体传送至 目标实体 处, 将传送实体数量作为 <数值> 返回\n2. tp( <数值|数值[ ]> 传送实体, <数值> 目标x, <数值> 目标y )\n将 传送实体 内所有实体传送至 x = 目标x, y = 目标y 处, 将传送实体数量作为 <数值> 返回",,,,,,,,,,,,,,,,
action_empty_colorful_x2,"! ? ×2 ? !",,,,,,,,"! ? ×2 ? !",,,,,,,,,,,,,,,,
actiondesc_empty_colorful_x2,"Repeat following effects in order until no spell in hand or { ×2 count } >= ( 2 × total number of spells in this wand ):\n1. cast first spell in hand with no draw, { ×2 count } +1\nbut if first spell in hand is [ ! ? ×2 ? ! ] or [ RESET ]: skip entire 1.\n2. send first spell in hand to graveyard\nignore impact of spells cast in 1. on mana, fire rate wait and reload time\nspecifically, initial value of { ×2 count } is 0",,,,,,,,"直到手卡没有法术存在或 { ×2计数 } >= ( 2 × 法杖内法术总数 ) 为止, 以下效果依次重复适用:\n1. 禁抽地释放手卡第 1 个法术, { ×2计数 } +1\n如果手卡第 1 个法术是 [ ! ? ×2 ? ! ] 或 [ 魔杖刷新 ]: 改为跳过整个 1.\n2. 将手卡第 1 个法术送去墓地\n无视 1. 中释放的法术对法力、施法延迟、充能时间的影响\n特别地, { ×2计数 } 初始值为 0",,,,,,,,,,,,,,,,
action_empty_colorful_arrival,"! ? ARRIVAL ? !",,,,,,,,"! ? 到来 ? !",,,,,,,,,,,,,,,,
actiondesc_empty_colorful_arrival,"Repeat following effects in order until no spell in deck or { ARRIVAL count } >= ( 2 × total number of spells in this wand ):\n1. cast first spell in deck with no draw, { ARRIVAL count } +1\nbut if first spell in deck is [ ! ? ARRIVAL ? ! ] or [ RESET ]: skip entire 1.\n2. send first spell in deck to graveyard\nignore impact of spells cast in 1. on mana, fire rate wait and reload time\nspecifically, initial value of { ARRIVAL count } is 0",,,,,,,,"直到卡组没有法术存在或 { 到来计数 } >= ( 2 × 法杖内法术总数 ) 为止, 以下效果依次重复适用:\n1. 禁抽地释放卡组第 1 个法术, { 到来计数 } +1\n如果卡组第 1 个法术是 [ ! ? 到来 ? ! ] 或 [ 魔杖刷新 ]: 改为跳过整个 1.\n2. 将卡组第 1 个法术送去墓地\n无视 1. 中释放的法术对法力、施法延迟、充能时间的影响\n特别地, { 到来计数 } 初始值为 0",,,,,,,,,,,,,,,,
action_empty_colorful_departure,"! ? DEPARTURE ? !",,,,,,,,"! ? 离去 ? !",,,,,,,,,,,,,,,,
